DISPUTE_REASON,count
NULL,322203
Customer had a plant schedule maintenance and when they were starting up the machine broke again,1486
Mine had locomotive failure,490
They had a plant breakdown,450
Customer reported strike,350
They reported a plant breakdown,302
Customer reported workers strike,285
Mine had breakdown on conveyer belt,229
Mine had breakdown at load out station,211
Mamathwane mine had breakdown at load out station,199
Product wet due to heavy rains and customer could not offload it,187
"South32 mine had breakdown on conveyer, impacted by inclement weather",176
The terminal was windbound and could not offload,175
Mine had system failure ans could not generate release document,158
TFR loading locomotive failure,154
"Kudumane mine had breakdown on conveyer, impacted by inclement weather",150
Mine had breakdown on locomotive,140
"Kudumane mine had complete failure on conveyer belt. Was replaced, customer was loading with FEL impacting on loading tempo",125
Kudumane was busy loading PE when Saldnah train was loading,125
"Kudumane mine had breakdown on load out station, was repaired and train departed",125
Kudumane mine experienced delay in loading due to locomotive challenges,124
There was a vessel discharging which impacted loading,123
Mine had scheduled maitenace when empties was placed,122
"Mine could not access the empty wagons, was blocked by loaded containers awaiting TFR clearance",116
Customer offloading impacted by inclement weather conditions,116
Customer had a challenge to get a booking reference for the vessel,112
Mine was loading Bellville containers when VDM empties arrived,110
Customer had a plant breakdown,110
Late placement of wagons.,105
BOT had contractual challenges with supplier impacting on availability of FEL,104
Mine experienced locomotive failure completion of train delayed,104
TFR locomotives had to be fuelled,104
Lohathla Mine was correcting skew loaded wagons,103
We experienced heavy rains on the Natcor Channel and it impacted the loading,102
Lohathla experienced derailment in siding impacting on completion of train,102
Mine had scheduled maintenance,100
Mine had breakdown on reclaime,94
Mine had covid case,86
Customer advised TFR about the hopper grid and the tippler that was damaged by 1 of the rail wagons. wagon was also placed for TFR convenience as there is only 1x shunt car available .,82
Tippler breakdown and had to source spares for repairs,75
Customer advised TFR in advance about the severe weather conditions and strong wind that poses a high risk when offloading due to the kind of offloading process and the steel metal sheets.,75
"Customer advised that City Power failure occurred in the area in and around Kaserne, CityDeep, Jupiter and George Kogch.",75
Mine was loading PE when Saldanha was placed,74
"mine breakdown on conveyer belt  ",69
TFR had locomotive challenges,68
Customer requested wagons to be hold by TFR due to Silo Full,63
Total of 40x wagons was placed due to 2x loads that was combined at Springs due to TFR convenience. Plant 4 offline for maintenance and customer can offload only 20x wagons.,60
