CUSTOMER_NAME,count
"SISHEN IRON ORE CO                 ",77150
"ASSMANG LIMITED                    ",43026
"ARCELORMITTAL SOUTH AFRICA LTD     ",20062
"HOTAZEL MANGANESE MINES  PTY LTD   ",17960
"SAMANCOR CHROME LTD                ",10941
"GLENCORE OPERATIONS SA PTY LTD     ",10537
"ASSMANG LTD (MANGANESE MINES)      ",9707
"SAPPI SOUTHERN AFRICA LTD          ",9146
"FOSKOR LTD FOSFAAT UITVOER         ",8628
"ESKOM EMPTY SKIPTAINERS COAL BU    ",8153
"SM Dummy CX   (DO NOT OPEN)        ",7663
"UNITED MANGANESE KALAHARI PTY LTD  ",7132
"TRADEKOR PE (PTY) LTD              ",6358
"KUDUMANE MANGANESE RESOURCES (PTY) ",6083
"PALABORA COPPER (PTY) LTD          ",5096
"NPC - CIMPOR  (PTY) LTD            ",4869
"SEDIBENG IRON ORE PTY LTD          ",4796
"PPC CEMENT SA PTY LTD              ",4737
"SAPPI SOUTHERN AFRICA  LTD         ",4497
"MTC CONSULTANTS CC                 ",3917
"RICHARDS BAY TITANIUM (PTY) LTD    ",3586
TSHIPI e NTLE MANGANESE MINING (PTY,3562
"TONGAAT HULETT SUGAR SOUTH AFRICA  ",3014
"SASOL SOUTH AFRICA (PTY) LTD       ",2595
"EXXARO COAL PTY LTD                ",2563
NCT FORESTRY AGRICULTURAL CO-OP LTD,2066
"UNICOAL TRADING (MAURITIUS)        ",1960
"AFRISAM SA PTY LTD                 ",1954
"RUSTENBURG PLATINUM MINES LTD      ",1921
"CHROMTECH HOLDINGS PTY LTD         ",1711
"ARXO LOGISTICS (PTY) LTD           ",1683
"UNATHISIYANDA LOGISTICS SERVICES   ",1488
"HELLMANN WORLDWIDE LOGISTICS  LTD  ",1207
"DWARSRIVIER CHROME MINE PTY LTD    ",1196
"TOYOTA SOUTH AFRICA MOTORS PTY LTD ",1104
"ESKOM HOLDINGS SOC LTD             ",1019
"PMG MINING (PTY) LTD               ",951
"ZARBON COAL PTY LTD                ",937
"KALAGADI MANGANESE (PTY) LTD       ",841
"TSHIPI E NTLE MANGANESE MINING PTY ",831
"SEBILO RESOURCES (PTY) LTD         ",825
"VERGENOEG MINING CO PTY LTD        ",801
"FORD MOTOR COMPANY SA PTY LTD      ",780
"COFCO INTERNATIONAL SOUTH AFRICA   ",776
"SCA INTERMODAL PTY LTD             ",733
"GWK BPK                            ",684
"ENGEN MARK LTD                     ",678
"VOLKSWAGEN OF SA PTY LTD           ",671
SEABOARD OVERSEAS TRDG SHIP PTY LTD,637
"IDWALA INDUST HOLD PTY LTD         ",637
"CARGO MOVERS PTY LTD               ",624
"FOODCORP PTY LTD                   ",622
"NPC - CIMPOR (PTY) LTD             ",610
"RELOAD LOGISTICS PTY LTD           ",609
"IMEX INTER PTY LTD                 ",597
OVERBORDER PAYEE,584
"VITERRA BV                         ",573
"TRONOX MINERAL SANDS PTY LTD       ",567
"ASSMANG LTD  CATO RIDGE            ",565
"SERITI POWER (Pty) Ltd             ",563
"GLENCORE INTERNATIONAL AG          ",532
"TRANS-MED SHIPPING CC              ",520
"SAB MALTINGS (PTY) LTD             ",506
"MASA CHROME COMPANY PTY LTD        ",505
STURROCK & ROBSON INDUSTRIES PTY LT,487
TSHIPI ENTLE MANGANESE MINING PTY L,483
"LIDINO TRADING 514 (PTY) LTD       ",474
"MSOBO COAL (PTY) LTD               ",433
"SENTRANS PTY LTD                   ",432
"OMNIA FERTILIZER DIV OMNIA GROUP   ",417
"BARPLATS MINES PTY LTD             ",409
EMANG MMOGO MINING RESOURCES PTY LT,404
"NTONGA GROUP PTY LTD               ",397
"TWK AGRI (PTY) LTD - HOUTBERKING   ",370
"MAERSK LINE AS                     ",356
"FOSKOR LTD                         ",349
"ILIMA COAL COMPANY (PTY) LTD       ",300
"SCS INFRA BELLVILLE 14004          ",281
"OOS VRYSTAAT KAAP BEDRYF BPK       ",256
"LOUIS DREYFUS COMPANY AFRICA PTY L ",243
"SCAW SOUTH AFRICA PTY LTD          ",236
"TOTAL SA PTY LTD                   ",231
"BANKFORDGROVE TRADING PTY LTD      ",222
"SCS INFRA SALDANHA 14006           ",216
"BROTHER (CISA) (PTY) LTD           ",211
"ANGLO OPERATIONS (PTY) LTD         ",204
"INFRA MAT LOGISTICS14000           ",199
"OXIOR CIVIL ENTERPRISES PTY LTD    ",196
"DORKING AFRICA PTY LTD             ",183
"MSC LOGISTICS PTY LTD              ",181
"AFRIC OIL PTY LTD                  ",175
"BESTER VOER & GRAAN BEURS          ",172
"TRANSALLOYS PROPRIETARY LTD        ",171
"VOESTALPINE VAE SA PTY LTD         ",170
"COALVEST LOGISTICS (PTY)LTD        ",167
"ENGEN SWAZILAND PTY LTD            ",159
"MONDI LTD                          ",150
"RICHARDS BAY MINING (PTY) LTD      ",149
"CC INTER AFRICA (PTY) LTD          ",149
RAIL NETWORK KIMBERLEY SOUTH 215322,143
"RED GRANITI SA PTY LTD             ",142
"BPSA PTY LTD                       ",123
"2KP PROCUREMENT SOLUTIONS PTY LTD  ",120
"THE SA BREWERIES LTD               ",120
"RAIL NETWORK EAST LONDON 415009    ",120
"AMEROPA COMMODITIES (PTY) LTD      ",118
"NITROPHOSKA EDMS BPK               ",114
"INFRA MAIN PERWAY 615067           ",110
"SASOL MINING PTY LTD               ",108
SOUTH DUNES COAL TERMINAL COMP. SOC,100
"GLEDHOW SUGAR COMPANY PTY LTD      ",100
MSOBO COAL (PTY) LTD - SPITZKOP COA,100
"INFRA MAT LOGIS 715463             ",95
"INFRA MAT LOGIS 315107             ",92
"Free On Rail Account (8888880000)  ",89
"MANGANESE METAL CO PTY LTD         ",87
"GRAINOVATION (PTY) LTD             ",85
"INFRA MAT LOGISTICS 812829         ",81
"ING SIV ERMELO 685030              ",80
"BOTSWANA ASH PTY LTD               ",78
"POLYTRA SACL (PTY) LTD             ",72
"INFRA MAT LOGIS 617032             ",70
"INFRA MAT LOGISTICS 14000          ",57
"SHELL  DOWNSTREAM SA  (PTY) LTD    ",57
"AFROX LTD                          ",56
"SCS INFRA HEIDELBERG 13983         ",55
"BARLOWORLD LOGISTICS AFR PTY LTD   ",49
"TRADEKOR PE PTY LTD                ",47
"INFRA MAT LOGIS 515046             ",45
"PIONEER FOODS PTY LTD              ",42
"SCS INFRA VRYHEID 14031            ",42
"ZULULAND ANTHRACITE COLL PTY LTD   ",40
"FUTURE COAL (PTY) LTD              ",39
"ETC AGRO ( PTY)  LTD               ",38
"CARGILL RSA PTY LTD                ",38
"TIMRITE (PTY) LTD                  ",35
"INFRA MAT LOGIS 115011             ",31
"LURISTAX (PTY) LTD                 ",31
"BRISEN COMMODITIES PTY LTD         ",28
AECI MINING CHEMICALS Div AECI MINI,28
"INGRAIN SA (PTY) LTD               ",26
"LANXESS PTY LTD                    ",25
"LURCO COAL PTY LTD                 ",23
"SASOL OIL (PTY) LTD                ",23
"MIGALO PTY LTD                     ",23
"LAFARGE INDUSTRIES SA PTY LTD      ",22
"TRADE IMPORTS & EXPORTS PTY LTD    ",20
"PERDIGON (PTY) LTD                 ",20
"THORNHILL ESTATES PTY LTD          ",19
TRANSNET ENGINEERING UITENHAGE 1403,15
"INFRA ISANDO EAST 715580           ",14
"TROKDIENSTE NOT OPEN ROSIE         ",14
"EASIGAS PTY LTD RSA NATIONAL       ",12
"PUREGAS PTY LTD                    ",10
"COSCO SHIPPING LINES S.A PTY LTD   ",8
"EXXARO COAL MPUMALANGA PTY LTD     ",8
"SAFRIPOL PTY LTD                   ",8
"ANGLO OPERATIONS PTY LTD           ",7
"TREK SCALE COMPANY (PTY) LTD       ",6
"ERGON LOGISTICS PTY LTD            ",5
"ROSSING URANIUM (PTY) LTD          ",3
"RISK CLAIMS 619653                 ",3
"GI DIV OF GRINDROD SA PTY LTD      ",2
"PUMA ENERGY SOUTH AFRICA PTY LTD   ",2
"SA COAL MINING OPERATIONS PTY LTD  ",2
"OORGRENS HULPTOERUSTING            ",2
