COMMODITY_DESC,count
IRON ORE (EXP),126499
MANGANESE CRUDE DIOXIDE EXP,43695
COAL EOHP,22302
CHROME ORE SAND CRUDE EXP,20620
PULPWOOD (HARD WOOD),11400
MAGNETITE,11129
FERROCHROME,9670
REC FULL EMPTY RETURN(CONTRACT,8226
CONTAINER WAGON MOVEMENT,8076
IRON ORE,6874
CHROME ORE AND SAND,6742
PHOSPHATE ROCK,6406
COAL EXPORT FOR STACKS,6071
CEMENT CLINKER,5738
MOTOR SELFPROPELLED VEHICLES,3762
SUGAR LOOSE,2874
TITANIUM SLAG,2261
AMMONIA ANHYDROUS LIQUOR / SOL,2232
P12M CONT HEAVY >26T-<29400KG,2219
MANGANESE CRUDE DIOXIDE LOCAL,2078
MAIZE LOOSE EXP,1972
SLAG IRON & STEEL T/WAGONS,1831
CONTAINER TRAFF MOVED AS BULK,1795
INFRASTRUCTURE,1735
WHEAT LOOSE EOHP,1727
CEMENT ORDINARY IN T/WAGONS,1558
IRON OR STEEL,1360
IRON/ PIG SPONGE,1190
DIESEL FUEL OIL T/WAGONS,987
SUGAR CANE EOHP,783
MAIZE LOOSE,783
LIME IN BAGS,738
FLUORSPAR,733
PETROLEUM DERIVATIVES,612
MANGANESE SINTERED,556
EARTH ETC CRUDE,504
BARLEY EOHP,495
GYPSUM EOHP,445
WHEAT MODDERRIVER RELOAD,437
LIMESTONE BAG/LOOSE OPEN WAGON,423
GENERAL SPRINT UNALLOCATED,400
COAL CONTAINERS BULK TRAFFIC,378
PETROL UNL T/W GASOLINE 1203,328
LIMESTONEPOWDER BOT DIS WAGONS,302
ZIRCONIUM SAND  SILICATE,286
TITANIUM CRUDE ILMENITE SAND,268
CHEMICALS IN T/WAGONS,258
GRANITE OR GRANITE CHIPS,249
LIME UNSLAKE IN BOT DIS WAGON,223
BLOCKS EOHP,200
COKE EOHP,182
RUTILE SAND,175
COPPER  CRUDE CONCENTRATE,160
AVIATION TURBINE FUEL T/WAGONS,156
LIME UNSLATED HYDRATED LOOSE,141
P12M CONT EXP HEAV >26T-29400K,127
MALT,119
FERTILIZER EOHP,119
CEMENT ORDINARY,113
SULPHUR AND SULPHUR POWDER,108
WIRE EOHP,106
SUGAR PACKED,95
SALT,94
ORS,91
SODIUM CARBONITE/CHROMATE BOT,86
GAS IN TANK WAGONS,81
MAIZE EX DOUGLAS/MODDERRIVIER,76
CAUSTIC SODA EOHP,72
DOLOMITE IN OPEN BOGIE WAGONS,68
BAGGED CEMENT SHRINK WRAPPED,54
PRIV IMP NON ISO STD OVERMASS,39
MINING TIMBER,35
UREA PHOSOPHATE (KARBAMITE FOS,24
WHEAT LOOSE EXPORT,23
TAR ACID MIXTURE CRUDE,22
FLY ASH IN TANK WAGONS,22
RAILWAY MATERIAL,16
GRAIN SORGUM LOOSE(EXPORT),15
PULPWOOD(SOFTWOOD),14
MEAL FLOUR BEAN PEA LENTEL,12
VERMUCULITE,12
HARDWARE EOHP,11
TRACTION,5
OIL LUBRICATING IN T TRUCKS,5
GAS PETROLEUM,2
