LOCATION_NAME,COMMODITY_DESC,count
AIRLIE,INFRASTRUCTURE,15
ALGOABAAI,IRON OR STEEL,10
ALGOABAAI ANKERPLEK 1,MOTOR SELFPROPELLED VEHICLES,113
ALGOABAAI ANKERPLEK 9,INFRASTRUCTURE,2
ALGOABAAI ANKERPLEK 9,IRON OR STEEL,35
ALGOABAAI KANTELAAR,MANGANESE CRUDE DIOXIDE EXP,23155
ALGOABAAI KANTELAAR,MANGANESE CRUDE DIOXIDE LOCAL,124
ALGOABAAI SDG.FPT GROUP PTY LT,MANGANESE CRUDE DIOXIDE EXP,2989
ALGOABAAI SDG.FPT GROUP PTY LT,MANGANESE SINTERED,481
ALICEDALE,INFRASTRUCTURE,1
ALOES SDG.NELSON MANDELA BAY M,MANGANESE CRUDE DIOXIDE EXP,965
ALOES SDG.NELSON MANDELA BAY M,MANGANESE SINTERED,74
ARBOR SDG.GIJIMA SUPPLY MANAGE,COAL CONTAINERS BULK TRAFFIC,151
ARLINGTON,INFRASTRUCTURE,11
BALLENGEICH SDG.IZIMBIWA COAL,COAL EXPORT FOR STACKS,100
BAYHEAD,CONTAINER WAGON MOVEMENT,47
BAYHEAD YARD,INFRASTRUCTURE,4
BAYHEAD YARD,PULPWOOD (HARD WOOD),1
BEACONSFIELD,INFRASTRUCTURE,15
BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,INFRASTRUCTURE,21
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,INFRASTRUCTURE,1
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,IRON OR STEEL,125
BEACONSFIELD SDG.EASIGAS PTY L,GAS IN TANK WAGONS,5
BEDLANE,SUGAR CANE EOHP,3
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,IRON ORE,4365
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,IRON ORE (EXP),446
BELA BELA,INFRASTRUCTURE,4
BELCON,CONTAINER WAGON MOVEMENT,303
BELFAST,INFRASTRUCTURE,26
BELLVILLE DEPT.SIDING 8024,INFRASTRUCTURE,7
BELLVILLE DEPT.SIDING 8792,TRACTION,3
BELLVILLE SDG.CONSOL LIMITED,SODIUM CARBONITE/CHROMATE BOT,43
BELLVILLE SDG.TONGAAT HULLETT STARCH,MAIZE LOOSE,6
BELLVILLE SITE SCRAP CONTAINERS,CEMENT ORDINARY,20
BELLVILLE SITE SCRAP CONTAINERS,REC FULL EMPTY RETURN(CONTRACT,9
BELMONT,INFRASTRUCTURE,98
BIJLKOR SDG.ARCELORMITTAL S.A,COAL EOHP,6946
BIJLKOR SDG.ARCELORMITTAL S.A,DOLOMITE IN OPEN BOGIE WAGONS,68
BIJLKOR SDG.ARCELORMITTAL S.A,IRON OR STEEL,414
BIJLKOR SDG.ARCELORMITTAL S.A,IRON ORE,2273
BIJLKOR SDG.ARCELORMITTAL S.A,IRON/ PIG SPONGE,34
BIJLKOR SDG.ARCELORMITTAL S.A,LIME IN BAGS,138
BIJLKOR SDG.ARCELORMITTAL S.A,LIME UNSLAKE IN BOT DIS WAGON,223
BIJLKOR SDG.ARCELORMITTAL S.A,LIME UNSLATED HYDRATED LOOSE,2
BIJLKOR SDG.ARCELORMITTAL S.A,LIMESTONE BAG/LOOSE OPEN WAGON,181
BIJLKOR SDG.ARCELORMITTAL S.A,TRACTION,1
BITTERFONTEIN,GRANITE OR GRANITE CHIPS,37
BLESKOP SDG.BLESKOP RAIL AND L,CHROME ORE SAND CRUDE EXP,1210
BLINKPAN,COAL EXPORT FOR STACKS,2
BLOEMCON CONTAINER TERMINAL NE,MANGANESE CRUDE DIOXIDE EXP,46
BLOEMFONTEIN,MAIZE EX DOUGLAS/MODDERRIVIER,1
BLOEMFONTEIN DEPT.SIDING SM TRANSPORT,RAILWAY MATERIAL,1
BLOEMFONTEIN OORSLAG,P12M CONT HEAVY >26T-<29400KG,2
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,BAGGED CEMENT SHRINK WRAPPED,7
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,CEMENT ORDINARY,9
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,CEMENT ORDINARY IN T/WAGONS,76
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,REC FULL EMPTY RETURN(CONTRACT,5
BLOEMFONTEIN WORKSHOP,CEMENT ORDINARY,1
BLOEMHOF,INFRASTRUCTURE,34
BLOEMHOF,MAIZE LOOSE,1
BLOEMHOF SDG.SUIDWES LANDBOU,WHEAT LOOSE EOHP,2
BOSHOEK SDG.XSTRATA SOUTH AFRI,FERROCHROME,589
BRAKPAN SDG.AFRISAM SOUTH AFRI,CEMENT ORDINARY IN T/WAGONS,202
BRITS SDG.MAGALIESBURGSE GRAAN,WHEAT LOOSE EOHP,2
BROODSNYERSPLAAS,COAL EXPORT FOR STACKS,200
BROODSNYERSPLAAS SDG.MARTIN AN,MAGNETITE,487
CALEDON SDG.S. A BREWERIES LIM,BARLEY EOHP,49
