LOCATION_NAME,DELAY_REASON,count
AIRLIE,SPECIAL OR NON-REVENUE EARNING WAGONS,15
ALGOABAAI,TPT RESPONSIBLE,10
ALGOABAAI ANKERPLEK 1,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",94
ALGOABAAI ANKERPLEK 1,DEDICATED TRUCKS (RING FENCED),19
ALGOABAAI ANKERPLEK 9,TPT RESPONSIBLE,37
ALGOABAAI KANTELAAR,TPT RESPONSIBLE,21432
ALGOABAAI KANTELAAR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,817
ALGOABAAI KANTELAAR,DEDICATED TRUCKS (RING FENCED),536
ALGOABAAI KANTELAAR,SPECIAL OR NON-REVENUE EARNING WAGONS,181
ALGOABAAI KANTELAAR,NULL,151
ALGOABAAI KANTELAAR,SHUNT NOT EXECUTED TFR,138
ALGOABAAI KANTELAAR,STORAGE OF WAGONS,20
ALGOABAAI KANTELAAR,CONTAINER TERMINAL TRAFFIC,3
ALGOABAAI KANTELAAR,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
ALGOABAAI SDG.FPT GROUP PTY LT,TPT RESPONSIBLE,3074
ALGOABAAI SDG.FPT GROUP PTY LT,DEDICATED TRUCKS (RING FENCED),211
ALGOABAAI SDG.FPT GROUP PTY LT,NULL,80
ALGOABAAI SDG.FPT GROUP PTY LT,SHUNT NOT EXECUTED TFR,51
ALGOABAAI SDG.FPT GROUP PTY LT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,42
ALGOABAAI SDG.FPT GROUP PTY LT,SPECIAL OR NON-REVENUE EARNING WAGONS,12
ALICEDALE,SPECIAL OR NON-REVENUE EARNING WAGONS,1
ALOES SDG.NELSON MANDELA BAY M,SHUNT NOT EXECUTED TFR,876
ALOES SDG.NELSON MANDELA BAY M,TPT RESPONSIBLE,143
ALOES SDG.NELSON MANDELA BAY M,NULL,16
ALOES SDG.NELSON MANDELA BAY M,SPECIAL OR NON-REVENUE EARNING WAGONS,4
ARBOR SDG.GIJIMA SUPPLY MANAGE,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",151
ARLINGTON,SHUNT NOT EXECUTED TFR,11
BALLENGEICH SDG.IZIMBIWA COAL,SHUNT NOT EXECUTED TFR,50
BALLENGEICH SDG.IZIMBIWA COAL,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,50
BAYHEAD,CONTAINER TERMINAL TRAFFIC,47
BAYHEAD YARD,SPECIAL OR NON-REVENUE EARNING WAGONS,4
BAYHEAD YARD,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
BEACONSFIELD,NULL,14
BEACONSFIELD,FREE TIME ALLOWED INTERUPPTED BY TFR,1
BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,FREE TIME ALLOWED INTERUPPTED BY TFR,16
BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,5
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,NULL,67
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,FREE TIME ALLOWED INTERUPPTED BY TFR,31
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",19
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,9
BEACONSFIELD SDG.EASIGAS PTY L,NULL,3
BEACONSFIELD SDG.EASIGAS PTY L,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
BEACONSFIELD SDG.EASIGAS PTY L,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
BEDLANE,NULL,3
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,4574
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,STORAGE OF WAGONS,203
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,TPT RESPONSIBLE,34
BELA BELA,SPECIAL OR NON-REVENUE EARNING WAGONS,4
BELCON,CONTAINER TERMINAL TRAFFIC,275
BELCON,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",28
BELFAST,SPECIAL OR NON-REVENUE EARNING WAGONS,26
BELLVILLE DEPT.SIDING 8024,SHUNT NOT EXECUTED TFR,7
BELLVILLE DEPT.SIDING 8792,SHUNT NOT EXECUTED TFR,3
BELLVILLE SDG.CONSOL LIMITED,SHUNT NOT EXECUTED TFR,23
BELLVILLE SDG.CONSOL LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,20
BELLVILLE SDG.TONGAAT HULLETT STARCH,SHUNT NOT EXECUTED TFR,6
BELLVILLE SITE SCRAP CONTAINERS,SHUNT NOT EXECUTED TFR,12
BELLVILLE SITE SCRAP CONTAINERS,NULL,8
BELLVILLE SITE SCRAP CONTAINERS,STORAGE OF WAGONS,5
BELLVILLE SITE SCRAP CONTAINERS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,4
BELMONT,SPECIAL OR NON-REVENUE EARNING WAGONS,67
BELMONT,SHUNT NOT EXECUTED TFR,21
BELMONT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,10
BIJLKOR SDG.ARCELORMITTAL S.A,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,9855
BIJLKOR SDG.ARCELORMITTAL S.A,NULL,388
BIJLKOR SDG.ARCELORMITTAL S.A,FORCE MAJEURE DECLARED BY TFR IN WRITING,29
BIJLKOR SDG.ARCELORMITTAL S.A,FREE TIME ALLOWED INTERUPPTED BY TFR,8
BITTERFONTEIN,SHUNT NOT EXECUTED TFR,17
BITTERFONTEIN,STORAGE OF WAGONS,12
BITTERFONTEIN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,8
BLESKOP SDG.BLESKOP RAIL AND L,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,649
BLESKOP SDG.BLESKOP RAIL AND L,SHUNT NOT EXECUTED TFR,319
BLESKOP SDG.BLESKOP RAIL AND L,WAGONS DIRTY,236
BLESKOP SDG.BLESKOP RAIL AND L,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",6
BLINKPAN,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",2
BLOEMCON CONTAINER TERMINAL NE,CONTAINER TERMINAL TRAFFIC,46
BLOEMFONTEIN,STORAGE OF WAGONS,1
BLOEMFONTEIN DEPT.SIDING SM TRANSPORT,SHUNT NOT EXECUTED TFR,1
BLOEMFONTEIN OORSLAG,CONTAINER TERMINAL TRAFFIC,2
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,27
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,LEAKAGE AND SPILLING IN TFR YARD,19
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,18
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,SHUNT NOT EXECUTED TFR,14
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,DEDICATED TRUCKS (RING FENCED),8
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,MASERU-LESOTHO TRAFFIC CONTINUE WITH MANUAL PROCESS,7
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,STORAGE OF WAGONS,3
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,WAGONS IN REPAIR DEPOT,1
BLOEMFONTEIN WORKSHOP,STORAGE OF WAGONS,1
BLOEMHOF,SPECIAL OR NON-REVENUE EARNING WAGONS,34
BLOEMHOF,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
BLOEMHOF SDG.SUIDWES LANDBOU,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,2
BOSHOEK SDG.XSTRATA SOUTH AFRI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,487
BOSHOEK SDG.XSTRATA SOUTH AFRI,WAGONS DIRTY,71
BOSHOEK SDG.XSTRATA SOUTH AFRI,FORCE MAJEURE DECLARED BY TFR IN WRITING,30
BOSHOEK SDG.XSTRATA SOUTH AFRI,STORAGE OF WAGONS,1
BRAKPAN SDG.AFRISAM SOUTH AFRI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,120
BRAKPAN SDG.AFRISAM SOUTH AFRI,SLOW LOADING/OFFLOADING PROCESS,55
BRAKPAN SDG.AFRISAM SOUTH AFRI,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,17
BRAKPAN SDG.AFRISAM SOUTH AFRI,DERAILMENT IN PRIVATE SIDINGS,10
BRITS SDG.MAGALIESBURGSE GRAAN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
BROODSNYERSPLAAS,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",100
BROODSNYERSPLAAS,Customers with THT agreement,100
BROODSNYERSPLAAS SDG.MARTIN AN,NULL,486
BROODSNYERSPLAAS SDG.MARTIN AN,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
CALEDON SDG.S. A BREWERIES LIM,SHUNT NOT EXECUTED TFR,72
CALEDON SDG.S. A BREWERIES LIM,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
CAMBRIDGE DEPT.SIDING PERWAY INSPECTOR,DEDICATED TRUCKS (RING FENCED),1
CAROLINA SDG. DROOGVALLEI RAIL,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",300
CATO RIDGE,SPECIAL OR NON-REVENUE EARNING WAGONS,8
CATO RIDGE,CONTAINER TERMINAL TRAFFIC,1
CATO RIDGE SDG.ASSMANG CATO RI,STORAGE OF WAGONS,112
CATO RIDGE SDG.ASSMANG CATO RI,SHUNT NOT EXECUTED TFR,1
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,SHUNT NOT EXECUTED TFR,4
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,FORCE MAJEURE DECLARED BY TFR IN WRITING,4
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,DEDICATED TRUCKS (RING FENCED),3
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,STORAGE OF WAGONS,2
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
CITY DEEP,CONTAINER TERMINAL TRAFFIC,33
CLEWER OPERATIONAL,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,3
CLEWER OPERATIONAL,NULL,1
CLEWER SDG.HIGHVELD STEEL CORP,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",799
CLEWER SDG.HIGHVELD STEEL CORP,NULL,166
CLEWER SDG.HIGHVELD STEEL CORP,SLOW LOADING/OFFLOADING PROCESS,115
CLEWER SDG.HIGHVELD STEEL CORP,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",40
CLEWER SDG.TRANSALLOYWS PTY LT,NULL,96
CLEWER SDG.TRANSALLOYWS PTY LT,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,75
COLIGNY,SPECIAL OR NON-REVENUE EARNING WAGONS,43
COMMONDALE,NULL,12
COOKHOUSE,SPECIAL OR NON-REVENUE EARNING WAGONS,45
COOKHOUSE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,22
COOKHOUSE,NULL,13
COR DELFOS SDG.ARCELORMITTAL S,NULL,90
COR DELFOS SDG.ARCELORMITTAL S,FORCE MAJEURE DECLARED BY TFR IN WRITING,79
COR DELFOS SDG.ARCELORMITTAL S,DEDICATED TRUCKS (RING FENCED),78
COR DELFOS SDG.ARCELORMITTAL S,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,67
DANIELSRUS SDG.XSTRATA SOUTH AFRICA,SHUNT NOT EXECUTED TFR,3
DANIELSRUS SDG.XSTRATA SOUTH AFRICA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
DANSKRAAL,SPECIAL OR NON-REVENUE EARNING WAGONS,9
DANSKRAAL DEPT.SIDING 8450,SPECIAL OR NON-REVENUE EARNING WAGONS,73
DANSKRAAL DEPT.SIDING 8450,CONTAINER TERMINAL TRAFFIC,2
DE AAR DEPT.SIDING 8161,SPECIAL OR NON-REVENUE EARNING WAGONS,1
DE HOEK SDG.PRETORIA PORTLAND CEMENT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,247
DE HOEK SDG.PRETORIA PORTLAND CEMENT,STORAGE OF WAGONS,222
DELMAS SDG.EXXARO COAL PTY LTD,NULL,36
DONKERPOORT,STORAGE OF WAGONS,1
DOUGLAS SDG.HIGHVELD STEEL AND,SHUNT NOT EXECUTED TFR,14
DOUGLAS SDG.HIGHVELD STEEL AND,"WEIGHBRIDGE TEST WAGONS ",2
DOUGLAS SDG.HIGHVELD STEEL AND,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
DRAGHOENDER,SHUNT NOT EXECUTED TFR,2
DUMEZWENI,NULL,5
DURBAN BULK SERVICES,ELECTRONIC DATA INTERFACE PROB,5
DURBAN DEPT.SDG.TRANSWERKE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
DURBAN DEPT.SIDING ACCESS FREI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,199
DURBAN DEPT.SIDING ACCESS FREI,CONTAINER TERMINAL TRAFFIC,101
DURBAN DEPT.SIDING ACCESS FREI,"CUSTOMER MAINTENANCE, CUSTOMER RESPONSIBILITY.",100
DURBAN DEPT.SIDING ACCESS FREI,SHUNT NOT EXECUTED TFR,94
DURBAN DEPT.SIDING ACCESS FREI,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",42
DURBAN DEPT.SIDING ACCESS FREI,SPECIAL OR NON-REVENUE EARNING WAGONS,20
DURBAN DEPT.SIDING ACCESS FREI,FORCE MAJEURE DECLARED BY CUSTOMER IN WRITING,12
DURBAN HARBOUR (SDG) 3,TPT RESPONSIBLE,487
DURBAN HARBOUR (SDG) 3,FORCE MAJEURE DECLARED BY TFR IN WRITING,466
DURBAN HARBOUR (SDG) 3,SHUNT NOT EXECUTED TFR,357
DURBAN HARBOUR (SDG) 3,SHUNT NOT EXECUTED,79
DURBAN HARBOUR (SDG) 3,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",38
DURBAN HARBOUR (SDG) 3,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,38
DURBAN HARBOUR SDG.FRESH PRODUCE TERMINA,SHUNT NOT EXECUTED TFR,61
DURBAN HARBOUR SDG.FRESH PRODUCE TERMINA,"PPP AGREEMENT ",1
DURBAN SDG.NEWLYN GROUP CONTAI,CONTAINER TERMINAL TRAFFIC,1440
DWAALBOOM SDG.PPC LIME LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1901
DWAALBOOM SDG.PPC LIME LIMITED,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",68
DWAALBOOM SDG.PPC LIME LIMITED,FREE TIME ALLOWED INTERUPPTED BY TFR,44
DWAALBOOM SDG.PPC LIME LIMITED,WAGONS DELAYED EN ROUTE,39
ELANDSFONTEIN SDG.CHEVRON S.A,SLOW LOADING/OFFLOADING PROCESS,49
ELANDSFONTEIN SDG.CHEVRON S.A,SILOS FULL,16
ELANDSFONTEIN SDG.CHEVRON S.A,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),16
ELANDSFONTEIN SDG.CHEVRON S.A,SIDING FULL,15
ELANDSFONTEIN SDG.CHEVRON S.A,WAGON LABELS NOT ATTACHED/INCOMPLETE/COMPLETED INCORRECTLY,2
ELANDSFONTEIN SDG.CHEVRON S.A,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
EMPANGENI DEPT.SIDING 8493,SPECIAL OR NON-REVENUE EARNING WAGONS,1
ERMELO LOKO/DEPOT,SPECIAL OR NON-REVENUE EARNING WAGONS,30
ERMELO LOKO/DEPOT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,9
ERMELO YARD,SPECIAL OR NON-REVENUE EARNING WAGONS,17
ERMELO YARD SDG.FORZANDO,SPECIAL OR NON-REVENUE EARNING WAGONS,2
ESTCOURT SDG.SASKO MILLS,SHUNT NOT EXECUTED TFR,38
ESTCOURT SDG.SASKO MILLS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,11
FELIXTON SDG.TONGAAT HULETT SU,NULL,761
FELIXTON SDG.TONGAAT HULETT SU,ELECTRONIC DATA INTERFACE PROB,2
FICKSBURG SDG.LESOTHO MILLING COMPANY,STORAGE OF WAGONS,9
FICKSBURG SDG.LESOTHO MILLING COMPANY,SHUNT NOT EXECUTED TFR,4
FORFAR SDG.MS RAIL,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",931
FORFAR SDG.MS RAIL,SPECIAL OR NON-REVENUE EARNING WAGONS,65
FORFAR SDG.MS RAIL,NULL,1
FRIEDESHEIM SDG.HARMONY GOLD MINING CO L,SHUNT NOT EXECUTED TFR,7
FYNNLAND,ELECTRONIC DATA INTERFACE PROB,1
FYNNLAND,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
FYNNLAND SDG.ENGEN PETROLEUM LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
FYNNLAND SDG.VOPAK TERMINAL DURBAN,STORAGE OF WAGONS,3
FYNNLAND TANK CLEANOUT SIDING,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
GEORGE,SPECIAL OR NON-REVENUE EARNING WAGONS,6
GEORGE,SHUNT NOT EXECUTED TFR,1
GEORGE SDG.PRETORIA PORTLAND CEMENT LTD,SHUNT NOT EXECUTED TFR,15
GEORGE SDG.PRETORIA PORTLAND CEMENT LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,5
GERMISTON SDG.ILLOVO SUGAR LTD,SLOW LOADING/OFFLOADING PROCESS,18
GERMISTON SDG.ILLOVO SUGAR LTD,NULL,13
GERMISTON SDG.ILLOVO SUGAR LTD,STORAGE OF WAGONS,8
GERMISTON SDG.ILLOVO SUGAR LTD,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,3
GERMISTON SDG.ILLOVO SUGAR LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,3
GERMISTON SDG.ILLOVO SUGAR LTD,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,3
GERMISTON SDG.ILLOVO SUGAR LTD,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),1
GERMISTON SDG.TONGAAT HULLETT,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",10
GERMISTON SDG.TONGAAT HULLETT,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,7
GLEDHOW SDG.SAPPI FINE PAPERS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,196
GLEDHOW SDG.SAPPI FINE PAPERS,ELECTRONIC DATA INTERFACE PROB,49
GLEDHOW SDG.SAPPI FINE PAPERS,FREE TIME ALLOWED INTERUPPTED BY TFR,46
GLEDHOW SDG.SAPPI FINE PAPERS,SCHEDULED MAINTENANCE - CUSTOMER.,21
GLEDHOW SDG.SAPPI FINE PAPERS,STORAGE OF WAGONS,4
GLEDHOW SDG.SAPPI FINE PAPERS,SHUNT NOT EXECUTED TFR,1
GLEDHOW SDG.USHUKELA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,98
GLEDHOW SDG.USHUKELA,FREE TIME ALLOWED INTERUPPTED BY TFR,2
GOEDGELUK,SPECIAL OR NON-REVENUE EARNING WAGONS,1
GOLELA,SPECIAL OR NON-REVENUE EARNING WAGONS,4
GROOTVLEI SDG.ESKOM,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",7358
GROOTVLEI SDG.ESKOM,SPECIAL OR NON-REVENUE EARNING WAGONS,40
GUNHILL SDG.ENGEN PETROLEUM LI,SHUNT NOT EXECUTED TFR,6
GUNHILL SDG.SHELL S.A,DELAY IN FUEL PIPELINE,13
GUNHILL SDG.SHELL S.A,SHUNT NOT EXECUTED TFR,11
GUNHILL SDG.SHELL S.A,STORAGE OF WAGONS,1
GUNHILL SDG.SHELL S.A,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
GUNHILL SDG.SHELL S.A,WAGON LABELS NOT ATTACHED OR INCOMPLETE OR COMPLETED INCORRECTLY,1
HALFWEG,SPECIAL OR NON-REVENUE EARNING WAGONS,63
HARRISMITH,SHUNT NOT EXECUTED TFR,10
HAWERKLIP,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",142
HAZYVIEW,SPECIAL OR NON-REVENUE EARNING WAGONS,114
HEIDELBERG GAUTENG,SPECIAL OR NON-REVENUE EARNING WAGONS,3
HERCULES SDG.PRETORIA PORTLAND,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1504
HERCULES SDG.PRETORIA PORTLAND,FORCE MAJEURE DECLARED BY TFR IN WRITING,143
HERCULES SDG.PRETORIA PORTLAND,DEDICATED TRUCKS (RING FENCED),24
HLUNGWANA,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",39
HOEDSPRUIT,SPECIAL OR NON-REVENUE EARNING WAGONS,1
HOTAZEL SDG. KUDUMANE MANAGEME,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,1277
HOTAZEL SDG. KUDUMANE MANAGEME,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,969
HOTAZEL SDG. KUDUMANE MANAGEME,SLOW LOADING/OFFLOADING PROCESS,360
HOTAZEL SDG. KUDUMANE MANAGEME,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),125
HOTAZEL SDG. KUDUMANE MANAGEME,SCHEDULED MAINTENANCE - CUSTOMER.,122
HOTAZEL SDG. KUDUMANE MANAGEME,WRONG TYPE OF WAGON SUPPLIED,40
