LOCATION_NAME,CUSTOMER_NAME,count
AIRLIE,"INFRA MAT LOGISTICS14000           ",15
ALGOABAAI,"VOESTALPINE VAE SA PTY LTD         ",10
ALGOABAAI ANKERPLEK 1,"FORD MOTOR COMPANY SA PTY LTD      ",113
ALGOABAAI ANKERPLEK 9,"VOESTALPINE VAE SA PTY LTD         ",35
ALGOABAAI ANKERPLEK 9,"SCS INFRA VRYHEID 14031            ",2
ALGOABAAI KANTELAAR,"HOTAZEL MANGANESE MINES  PTY LTD   ",11603
ALGOABAAI KANTELAAR,"ASSMANG LTD (MANGANESE MINES)      ",5980
ALGOABAAI KANTELAAR,"UNITED MANGANESE KALAHARI PTY LTD  ",4538
ALGOABAAI KANTELAAR,"KUDUMANE MANGANESE RESOURCES (PTY) ",908
ALGOABAAI KANTELAAR,"TSHIPI E NTLE MANGANESE MINING PTY ",250
ALGOABAAI SDG.FPT GROUP PTY LT,"HOTAZEL MANGANESE MINES  PTY LTD   ",2917
ALGOABAAI SDG.FPT GROUP PTY LT,"KALAGADI MANGANESE (PTY) LTD       ",553
ALICEDALE,"INFRA MAT LOGIS 315107             ",1
ALOES SDG.NELSON MANDELA BAY M,"TSHIPI E NTLE MANGANESE MINING PTY ",369
ALOES SDG.NELSON MANDELA BAY M,"KUDUMANE MANGANESE RESOURCES (PTY) ",305
ALOES SDG.NELSON MANDELA BAY M,"KALAGADI MANGANESE (PTY) LTD       ",288
ALOES SDG.NELSON MANDELA BAY M,"HOTAZEL MANGANESE MINES  PTY LTD   ",77
ARBOR SDG.GIJIMA SUPPLY MANAGE,"Eskom Holdings SOC LTD             ",151
ARLINGTON,"INFRA MAT LOGIS 515046             ",11
BALLENGEICH SDG.IZIMBIWA COAL,"GLENCORE OPERATIONS SA PTY LTD     ",100
BAYHEAD,"SM Dummy CX   (DO NOT OPEN)        ",36
BAYHEAD,"COSCO SHIPPING LINES S.A PTY LTD   ",8
BAYHEAD,"MSC LOGISTICS PTY LTD              ",3
BAYHEAD YARD,"INFRA MAIN PERWAY 615067           ",4
BAYHEAD YARD,"SAPPI SOUTHERN AFRICA LTD          ",1
BEACONSFIELD,RAIL NETWORK KIMBERLEY SOUTH 215322,15
BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,"SCS INFRA BELLVILLE 14004          ",16
BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,"RAIL NETWORK EAST LONDON 415009    ",5
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,"VOESTALPINE VAE SA PTY LTD         ",125
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,"SCS INFRA VRYHEID 14031            ",1
BEACONSFIELD SDG.EASIGAS PTY L,"EASIGAS PTY LTD RSA NATIONAL       ",5
BEDLANE,"TONGAAT HULETT SUGAR SOUTH AFRICA  ",3
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,"ARCELORMITTAL SOUTH AFRICA LTD     ",4365
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,"ASSMANG LIMITED                    ",446
BELA BELA,"INFRA MAT LOGISTICS 812829         ",4
BELCON,"SM Dummy CX   (DO NOT OPEN)        ",303
BELFAST,"INFRA MAT LOGISTICS 14000          ",26
BELLVILLE DEPT.SIDING 8024,"SCS INFRA SALDANHA 14006           ",7
BELLVILLE DEPT.SIDING 8792,"TROKDIENSTE NOT OPEN ROSIE         ",3
BELLVILLE SDG.CONSOL LIMITED,"BOTSWANA ASH PTY LTD               ",43
BELLVILLE SDG.TONGAAT HULLETT STARCH,"OOS VRYSTAAT KAAP BEDRYF BPK       ",6
BELLVILLE SITE SCRAP CONTAINERS,"AFRISAM SA PTY LTD                 ",29
BELMONT,RAIL NETWORK KIMBERLEY SOUTH 215322,98
BIJLKOR SDG.ARCELORMITTAL S.A,"ARCELORMITTAL SOUTH AFRICA LTD     ",10280
BITTERFONTEIN,"DORKING AFRICA PTY LTD             ",37
