CORRIDOR_NAME,AREA_NAME,count
CAPE CORRIDOR,PORT ELIZABETH AREA,29251
CAPE CORRIDOR,POSTMASBURG AREA,16210
CAPE CORRIDOR,BELLVILLE AREA,1911
CAPE CORRIDOR,BELCON CONT.AREA,1862
CAPE CORRIDOR,KIMBERLEY AREA,867
CAPE CORRIDOR,BLOEMFONTEIN AREA,654
CAPE CORRIDOR,WORCESTOR AREA,281
CAPE CORRIDOR,MASCON CONT.AREA,256
CAPE CORRIDOR,DEAL PARTY CONT.AREA,102
CAPE CORRIDOR,EAST LONDON AREA,98
CAPE CORRIDOR,BLOEMFONTEIN CONT.AREA,48
CAPE CORRIDOR,DE AAR AREA,7
CENTRAL CORRIDOR,VEREENIGING AREA,11857
CENTRAL CORRIDOR,PRETORIA AREA,3323
CENTRAL CORRIDOR,ISANDO AREA,2782
CENTRAL CORRIDOR,LICHTENBURG AREA,1333
CENTRAL CORRIDOR,KRUGERSDORP AREA,280
CENTRAL CORRIDOR,PRETCON CONT.AREA,252
CENTRAL CORRIDOR,VAALCON CONT.AREA,246
CENTRAL CORRIDOR,SENTRARAND AREA,31
CONTAINER CORRIDOR,DURBAN AREA,28128
CONTAINER CORRIDOR,NEWCASTLE AREA,5912
CONTAINER CORRIDOR,DURBAN HARBOUR AREA,4574
CONTAINER CORRIDOR,KINGS REST AREA,3529
CONTAINER CORRIDOR,JOHANNESBURG AREA,1784
CONTAINER CORRIDOR,BAYHEAD CONT.AREA,1487
CONTAINER CORRIDOR,KASCON CONT.ARE,1117
CONTAINER CORRIDOR,PIETERMARITZBURG AREA,536
CONTAINER CORRIDOR,KROONSTAD AREA,105
CONTAINER CORRIDOR,BETHLEHEM AREA,56
CONTAINER CORRIDOR,CITY DEEP CONT.AREA,33
NORTH CORRIDOR,RICHARDS BAY AREA,37262
NORTH CORRIDOR,RUSTENBURG AREA,14147
NORTH CORRIDOR,WELGEDAG AREA,8127
NORTH CORRIDOR,THABAZIMBI AREA,6149
NORTH CORRIDOR,ERMELO AREA,1473
NORTH CORRIDOR,OGIES AREA,865
NORTH CORRIDOR,SPRINGS AREA,777
NORTH CORRIDOR,VRYHEID AREA,615
NORTH CORRIDOR,RICHARDS BAY COAL AREA,369
NORTH EAST CORRIDOR,WITBANK AREA,12420
NORTH EAST CORRIDOR,NELSPRUIT AREA,7133
NORTH EAST CORRIDOR,POLOKWANE AREA,209
ORELINE CORRIDOR,SALKOR AREA,126452
