CORRIDOR_NAME,COMMODITY_DESC,count
CAPE CORRIDOR,MANGANESE CRUDE DIOXIDE EXP,38861
CAPE CORRIDOR,IRON ORE,4437
CAPE CORRIDOR,CONTAINER TRAFF MOVED AS BULK,1023
CAPE CORRIDOR,IRON ORE (EXP),861
CAPE CORRIDOR,P12M CONT HEAVY >26T-<29400KG,822
CAPE CORRIDOR,CONTAINER WAGON MOVEMENT,597
CAPE CORRIDOR,MANGANESE CRUDE DIOXIDE LOCAL,566
CAPE CORRIDOR,MANGANESE SINTERED,555
CAPE CORRIDOR,INFRASTRUCTURE,475
CAPE CORRIDOR,CEMENT ORDINARY IN T/WAGONS,441
CAPE CORRIDOR,IRON OR STEEL,412
CAPE CORRIDOR,WHEAT LOOSE EOHP,405
CAPE CORRIDOR,MAIZE LOOSE,385
CAPE CORRIDOR,COAL EOHP,312
CAPE CORRIDOR,MOTOR SELFPROPELLED VEHICLES,295
CAPE CORRIDOR,MALT,119
CAPE CORRIDOR,FERTILIZER EOHP,114
CAPE CORRIDOR,CEMENT ORDINARY,113
CAPE CORRIDOR,GYPSUM EOHP,111
CAPE CORRIDOR,WHEAT MODDERRIVER RELOAD,83
CAPE CORRIDOR,SLAG IRON & STEEL T/WAGONS,70
CAPE CORRIDOR,BARLEY EOHP,69
CAPE CORRIDOR,MAIZE EX DOUGLAS/MODDERRIVIER,60
CAPE CORRIDOR,REC FULL EMPTY RETURN(CONTRACT,60
CAPE CORRIDOR,SODIUM CARBONITE/CHROMATE BOT,43
CAPE CORRIDOR,CEMENT CLINKER,40
CAPE CORRIDOR,PRIV IMP NON ISO STD OVERMASS,39
CAPE CORRIDOR,BLOCKS EOHP,38
CAPE CORRIDOR,GRANITE OR GRANITE CHIPS,37
CAPE CORRIDOR,BAGGED CEMENT SHRINK WRAPPED,26
CAPE CORRIDOR,DIESEL FUEL OIL T/WAGONS,17
CAPE CORRIDOR,RAILWAY MATERIAL,16
CAPE CORRIDOR,GRAIN SORGUM LOOSE(EXPORT),15
CAPE CORRIDOR,MEAL FLOUR BEAN PEA LENTEL,12
CAPE CORRIDOR,HARDWARE EOHP,5
CAPE CORRIDOR,GAS IN TANK WAGONS,5
CAPE CORRIDOR,TRACTION,3
CAPE CORRIDOR,LIMESTONE BAG/LOOSE OPEN WAGON,2
CAPE CORRIDOR,AMMONIA ANHYDROUS LIQUOR / SOL,2
CAPE CORRIDOR,ORS,1
CENTRAL CORRIDOR,COAL EOHP,7590
CENTRAL CORRIDOR,IRON ORE,2273
CENTRAL CORRIDOR,CEMENT CLINKER,1882
CENTRAL CORRIDOR,AMMONIA ANHYDROUS LIQUOR / SOL,1772
CENTRAL CORRIDOR,MOTOR SELFPROPELLED VEHICLES,1755
CENTRAL CORRIDOR,CEMENT ORDINARY IN T/WAGONS,591
CENTRAL CORRIDOR,WHEAT LOOSE EOHP,429
CENTRAL CORRIDOR,IRON OR STEEL,414
CENTRAL CORRIDOR,PHOSPHATE ROCK,322
CENTRAL CORRIDOR,WHEAT MODDERRIVER RELOAD,318
CENTRAL CORRIDOR,LIME IN BAGS,314
CENTRAL CORRIDOR,MAIZE LOOSE,312
CENTRAL CORRIDOR,LIMESTONEPOWDER BOT DIS WAGONS,302
CENTRAL CORRIDOR,LIME UNSLAKE IN BOT DIS WAGON,223
CENTRAL CORRIDOR,LIMESTONE BAG/LOOSE OPEN WAGON,211
CENTRAL CORRIDOR,CHROME ORE SAND CRUDE EXP,181
CENTRAL CORRIDOR,CONTAINER WAGON MOVEMENT,175
CENTRAL CORRIDOR,LIME UNSLATED HYDRATED LOOSE,131
CENTRAL CORRIDOR,INFRASTRUCTURE,112
CENTRAL CORRIDOR,AVIATION TURBINE FUEL T/WAGONS,99
CENTRAL CORRIDOR,SALT,94
CENTRAL CORRIDOR,PETROLEUM DERIVATIVES,79
CENTRAL CORRIDOR,P12M CONT HEAVY >26T-<29400KG,77
CENTRAL CORRIDOR,GYPSUM EOHP,68
CENTRAL CORRIDOR,DOLOMITE IN OPEN BOGIE WAGONS,68
CENTRAL CORRIDOR,SUGAR LOOSE,44
CENTRAL CORRIDOR,DIESEL FUEL OIL T/WAGONS,41
CENTRAL CORRIDOR,BLOCKS EOHP,35
CENTRAL CORRIDOR,IRON/ PIG SPONGE,34
CENTRAL CORRIDOR,BAGGED CEMENT SHRINK WRAPPED,28
CENTRAL CORRIDOR,CHEMICALS IN T/WAGONS,27
CENTRAL CORRIDOR,UREA PHOSOPHATE (KARBAMITE FOS,24
CENTRAL CORRIDOR,FLY ASH IN TANK WAGONS,22
CENTRAL CORRIDOR,PETROL UNL T/W GASOLINE 1203,22
