AREA_NAME,LOCATION_NAME,count
BAYHEAD CONT.AREA,DURBAN SDG.NEWLYN GROUP CONTAI,1440
BAYHEAD CONT.AREA,BAYHEAD,47
BELCON CONT.AREA,TABLE BAY HARBOUR G BERTH,1559
BELCON CONT.AREA,BELCON,303
BELLVILLE AREA,SALDANHA SDG.SEAWIND INVESTMEN,822
BELLVILLE AREA,DE HOEK SDG.PRETORIA PORTLAND CEMENT,469
BELLVILLE AREA,NUWELAND SDG.THE SOUTH AFRICAN,95
BELLVILLE AREA,MALMESBURY SDG.PIONEER FOODS PTY LTD,91
BELLVILLE AREA,MALMESBURY,80
BELLVILLE AREA,CALEDON SDG.S. A BREWERIES LIM,74
BELLVILLE AREA,PAARDENEILAND SDG.FRESH PRODUCE TERMINAL,62
BELLVILLE AREA,BELLVILLE SDG.CONSOL LIMITED,43
BELLVILLE AREA,BITTERFONTEIN,37
BELLVILLE AREA,BELLVILLE SITE SCRAP CONTAINERS,29
BELLVILLE AREA,KALBASKRAAL,22
BELLVILLE AREA,MULDERSVLEI,22
BELLVILLE AREA,KLAWER,20
BELLVILLE AREA,KLIPDALE SDG.OVERBERG AGRI BEDRYWE,15
BELLVILLE AREA,BELLVILLE DEPT.SIDING 8024,7
BELLVILLE AREA,BELLVILLE SDG.TONGAAT HULLETT STARCH,6
BELLVILLE AREA,TABLE BAY HARBOUR,5
BELLVILLE AREA,BELLVILLE DEPT.SIDING 8792,3
BELLVILLE AREA,PROTEM SDG.OVERBERG AGRI BEDRY,3
BELLVILLE AREA,RIETPOEL,2
BELLVILLE AREA,RIETPOEL SDG.OVERBERG AGRI BEDRYWE,2
BELLVILLE AREA,MELLISH,2
BETHLEHEM AREA,FICKSBURG SDG.LESOTHO MILLING COMPANY,13
BETHLEHEM AREA,ARLINGTON,11
BETHLEHEM AREA,HARRISMITH,10
BETHLEHEM AREA,REITZ SDG.VRYSTAAT KOOPERASIE,10
BETHLEHEM AREA,MONTEVIDEO SDG.AFGRI OPERATIONS LTD,7
BETHLEHEM AREA,DANIELSRUS SDG.XSTRATA SOUTH AFRICA,5
BLOEMFONTEIN AREA,MASERU,388
BLOEMFONTEIN AREA,MASERU SDG.LESOTHO FLOUR MILLS,145
BLOEMFONTEIN AREA,BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,97
BLOEMFONTEIN AREA,SPRINGFONTEIN,20
BLOEMFONTEIN AREA,BLOEMFONTEIN WORKSHOP,1
BLOEMFONTEIN AREA,DONKERPOORT,1
BLOEMFONTEIN AREA,BLOEMFONTEIN,1
BLOEMFONTEIN AREA,BLOEMFONTEIN DEPT.SIDING SM TRANSPORT,1
BLOEMFONTEIN CONT.AREA,BLOEMCON CONTAINER TERMINAL NE,46
BLOEMFONTEIN CONT.AREA,BLOEMFONTEIN OORSLAG,2
CITY DEEP CONT.AREA,CITY DEEP,33
DE AAR AREA,DRAGHOENDER,2
DE AAR AREA,PRIESKA SDG.GRIEKWALAND WES KO,2
DE AAR AREA,UPINGTON,2
DE AAR AREA,DE AAR DEPT.SIDING 8161,1
DEAL PARTY CONT.AREA,NGQURA PORT TERMINAL,101
DEAL PARTY CONT.AREA,PORT ELIZABETH,1
DURBAN AREA,UMKOMAAS SDG.SAPPI SAICCOR,9782
DURBAN AREA,WESTS SDG.BULK CONNECTIONS,6574
DURBAN AREA,MOUNT VERNON SDG.NPC CIMOR PTY LTD,3212
DURBAN AREA,ISLAND VIEW SDG.SOUTH AFRICAN,2498
DURBAN AREA,ROSSBURGH SDG.HULETT REFINERIE,2346
DURBAN AREA,UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,1180
DURBAN AREA,MEREBANK SDG.ENGEN PETROLEUM,671
DURBAN AREA,DURBAN DEPT.SIDING ACCESS FREI,568
DURBAN AREA,GLEDHOW SDG.SAPPI FINE PAPERS,317
DURBAN AREA,ISIPINGO SITE CAR TRAIN,247
DURBAN AREA,MEREBANK SDG.LANXESS,206
DURBAN AREA,ISLAND VIEW SDG.TOTAL S.A,174
DURBAN AREA,GLEDHOW SDG.USHUKELA,100
DURBAN AREA,ISLAND VIEW SDG.ISLAND VIEW HOLDINGS 1,65
DURBAN AREA,ISLAND VIEW SDG.SHELL SOUTH AFRICA 1,59
DURBAN AREA,MONTCLAIR SDG.MONDI PAPER CO.LTD,48
DURBAN AREA,UMTENTWENI SDG.NPC CIMCOR PTY LTD,40
DURBAN AREA,UMBOGINTWINI SDG.HEARTLANDS LEASING LTD,17
DURBAN AREA,DURBAN BULK SERVICES,5
DURBAN AREA,BAYHEAD YARD,5
DURBAN AREA,FYNNLAND SDG.VOPAK TERMINAL DURBAN,3
DURBAN AREA,MEREBANK SDG.SHELL & BP PETROL REFIN.,3
DURBAN AREA,FYNNLAND,2
DURBAN AREA,WENTWORTH LOCOMOTIVE DEPOT,2
