AREA_NAME,DELAY_REASON,count
BAYHEAD CONT.AREA,CONTAINER TERMINAL TRAFFIC,1487
BELCON CONT.AREA,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1053
BELCON CONT.AREA,CONTAINER TERMINAL TRAFFIC,809
BELLVILLE AREA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,913
BELLVILLE AREA,SHUNT NOT EXECUTED TFR,530
BELLVILLE AREA,STORAGE OF WAGONS,344
BELLVILLE AREA,NULL,88
BELLVILLE AREA,ELECTRONIC DATA INTERFACE PROB,13
BELLVILLE AREA,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,13
BELLVILLE AREA,WRONG TYPE OF WAGON SUPPLIED,10
BETHLEHEM AREA,SHUNT NOT EXECUTED TFR,45
BETHLEHEM AREA,STORAGE OF WAGONS,9
BETHLEHEM AREA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
BLOEMFONTEIN AREA,MASERU-LESOTHO TRAFFIC CONTINUE WITH MANUAL PROCESS,260
BLOEMFONTEIN AREA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,179
BLOEMFONTEIN AREA,STORAGE OF WAGONS,89
BLOEMFONTEIN AREA,SHUNT NOT EXECUTED TFR,42
BLOEMFONTEIN AREA,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,39
BLOEMFONTEIN AREA,LEAKAGE AND SPILLING IN TFR YARD,19
BLOEMFONTEIN AREA,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,10
BLOEMFONTEIN AREA,DEDICATED TRUCKS (RING FENCED),8
BLOEMFONTEIN AREA,SPECIAL OR NON-REVENUE EARNING WAGONS,6
BLOEMFONTEIN AREA,WAGONS IN REPAIR DEPOT,1
BLOEMFONTEIN AREA,WAGONS DELAYED EN ROUTE,1
BLOEMFONTEIN CONT.AREA,CONTAINER TERMINAL TRAFFIC,48
CITY DEEP CONT.AREA,CONTAINER TERMINAL TRAFFIC,33
DE AAR AREA,SPECIAL OR NON-REVENUE EARNING WAGONS,3
DE AAR AREA,SHUNT NOT EXECUTED TFR,2
DE AAR AREA,DEDICATED TRUCKS (RING FENCED),2
DEAL PARTY CONT.AREA,CONTAINER TERMINAL TRAFFIC,101
DEAL PARTY CONT.AREA,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
DURBAN AREA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,15505
DURBAN AREA,FREE TIME ALLOWED INTERUPPTED BY TFR,2923
DURBAN AREA,SHUNT NOT EXECUTED TFR,2350
DURBAN AREA,"CUSTOMER MAINTENANCE, CUSTOMER RESPONSIBILITY.",1934
DURBAN AREA,TPT RESPONSIBLE,1104
DURBAN AREA,CONTAINER TERMINAL TRAFFIC,689
DURBAN AREA,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",597
DURBAN AREA,STORAGE OF WAGONS,551
DURBAN AREA,ELECTRONIC DATA INTERFACE PROB,483
DURBAN AREA,FORCE MAJEURE DECLARED BY CUSTOMER IN WRITING,481
DURBAN AREA,SCHEDULED MAINTENANCE - CUSTOMER.,450
DURBAN AREA,STRIKES AND OTHER LABOUR PROBLEMS,336
DURBAN AREA,PLANT BREAKDOWN UNABLE TO OFFLOAD PRODUCT,133
