AREA_NAME,COMMODITY_DESC,count
BAYHEAD CONT.AREA,CONTAINER WAGON MOVEMENT,1391
BAYHEAD CONT.AREA,P12M CONT HEAVY >26T-<29400KG,96
BELCON CONT.AREA,CONTAINER TRAFF MOVED AS BULK,811
BELCON CONT.AREA,P12M CONT HEAVY >26T-<29400KG,748
BELCON CONT.AREA,CONTAINER WAGON MOVEMENT,303
BELLVILLE AREA,MANGANESE CRUDE DIOXIDE EXP,580
BELLVILLE AREA,COAL EOHP,312
BELLVILLE AREA,IRON OR STEEL,242
BELLVILLE AREA,MALT,108
BELLVILLE AREA,FERTILIZER EOHP,104
BELLVILLE AREA,GYPSUM EOHP,77
BELLVILLE AREA,INFRASTRUCTURE,76
BELLVILLE AREA,SLAG IRON & STEEL T/WAGONS,70
BELLVILLE AREA,BARLEY EOHP,69
BELLVILLE AREA,SODIUM CARBONITE/CHROMATE BOT,43
BELLVILLE AREA,MAIZE LOOSE,43
BELLVILLE AREA,GRANITE OR GRANITE CHIPS,37
BELLVILLE AREA,CEMENT ORDINARY,30
BELLVILLE AREA,CONTAINER WAGON MOVEMENT,25
BELLVILLE AREA,WHEAT LOOSE EOHP,22
BELLVILLE AREA,WHEAT MODDERRIVER RELOAD,20
BELLVILLE AREA,GRAIN SORGUM LOOSE(EXPORT),15
BELLVILLE AREA,MAIZE EX DOUGLAS/MODDERRIVIER,12
BELLVILLE AREA,MEAL FLOUR BEAN PEA LENTEL,12
BELLVILLE AREA,REC FULL EMPTY RETURN(CONTRACT,9
BELLVILLE AREA,TRACTION,3
BELLVILLE AREA,AMMONIA ANHYDROUS LIQUOR / SOL,2
BETHLEHEM AREA,INFRASTRUCTURE,21
BETHLEHEM AREA,MAIZE LOOSE,10
BETHLEHEM AREA,WHEAT LOOSE EOHP,9
BETHLEHEM AREA,MAIZE LOOSE EXP,7
BETHLEHEM AREA,AMMONIA ANHYDROUS LIQUOR / SOL,5
BETHLEHEM AREA,WHEAT MODDERRIVER RELOAD,4
BLOEMFONTEIN AREA,CEMENT ORDINARY IN T/WAGONS,416
BLOEMFONTEIN AREA,MAIZE LOOSE,84
BLOEMFONTEIN AREA,CEMENT ORDINARY,35
BLOEMFONTEIN AREA,BAGGED CEMENT SHRINK WRAPPED,26
BLOEMFONTEIN AREA,INFRASTRUCTURE,21
BLOEMFONTEIN AREA,MAIZE EX DOUGLAS/MODDERRIVIER,21
BLOEMFONTEIN AREA,WHEAT MODDERRIVER RELOAD,21
BLOEMFONTEIN AREA,WHEAT LOOSE EOHP,20
BLOEMFONTEIN AREA,REC FULL EMPTY RETURN(CONTRACT,9
BLOEMFONTEIN AREA,RAILWAY MATERIAL,1
BLOEMFONTEIN CONT.AREA,MANGANESE CRUDE DIOXIDE EXP,46
BLOEMFONTEIN CONT.AREA,P12M CONT HEAVY >26T-<29400KG,2
CITY DEEP CONT.AREA,CONTAINER WAGON MOVEMENT,33
DE AAR AREA,HARDWARE EOHP,4
DE AAR AREA,INFRASTRUCTURE,2
DE AAR AREA,DIESEL FUEL OIL T/WAGONS,1
DEAL PARTY CONT.AREA,CONTAINER WAGON MOVEMENT,70
